Andorra,Europa,2
United Arab Emirates,Medio oriente,6
Afghanistan,Asia & Pacífico,3
Antigua and Barbuda,Sur/Latino América,1
Anguilla,Sur/Latino América,1
Albania,Europa,2
Armenia,Europa,2
Netherlands Antilles,Sur/Latino América,1
Angola,Africa,4
Antarctica,Asia & Pacífico,3
Argentina,Sur/Latino América,1
American Samoa,Asia & Pacífico,3
Austria,Europa,2
Australia,Asia & Pacífico,3
Aruba,Sur/Latino América,1
Azerbaijan,Asia & Pacífico,3
Bosnia and Herzegovina,Europa,2
Barbados,Sur/Latino América,1
Bangladesh,Asia & Pacífico,3
Belgium,Europa,2
Burkina Faso,Africa,4
Bulgaria,Europa,2
Bahrain,Estados árabes,5
Burundi,Africa,4
Benin,Africa,4
Bermuda,Norte America,7
Brunei Darussalam,Asia & Pacífico,3
Bolivia,Sur/Latino América,1
Brazil,Sur/Latino América,1
Bahamas,Sur/Latino América,1
Bhutan,Asia & Pacífico,3
Bouvet Island,Sur/Latino América,1
Botswana,Africa,4
Belarus,Europa,2
Belize,Sur/Latino América,1
Canada,Norte America,7
Cocos (Keeling) Islands,Asia & Pacífico,3
DR Congo,Africa,4
Central African Republic,Africa,4
Congo,Africa,4
Switzerland,Europa,2
Côte D'Ivoire,Africa,4
Cook Islands,Asia & Pacífico,3
Chile,Sur/Latino América,1
Cameroon,Africa,4
China,Asia & Pacífico,3
Colombia,Sur/Latino América,1
Costa Rica,Sur/Latino América,1
Cuba,Sur/Latino América,1
Cabo Verde,Africa,4
Christmas Island,Asia & Pacífico,3
Cyprus,Europa,2
Czech Republic,Europa,2
Germany,Europa,2
Djibouti,Estados árabes,5
Denmark,Europa,2
Dominica,Sur/Latino América,1
Dominican Republic,Sur/Latino América,1
Algeria,Estados árabes,5
Ecuador,Sur/Latino América,1
Estonia,Europa,2
Egypt,Medio oriente,6
Western Sahara,Africa,4
Eritrea,Africa,4
Spain,Europa,2
Ethiopia,Africa,4
Finland,Europa,2
Fiji,Asia & Pacífico,3
Falkland Islands (Malvinas),Sur/Latino América,1
Micronesia, Federated States of,Asia & Pacífico,3
Faroe Islands,Europa,2
France,Europa,2
France, Metropolitan,Europa,2
Gabon,Africa,4
United Kingdom,Europa,2
Grenada,Sur/Latino América,1
Georgia,Europa,2
French Guiana,Sur/Latino América,1
Ghana,Africa,4
Gibraltar,Europa,2
Greenland,Europa,2
Gambia,Africa,4
Guinea,Africa,4
Guadeloupe,Sur/Latino América,1
Equatorial Guinea,Africa,4
Greece,Europa,2
South Georgia and the South Sandwich Islands,Sur/Latino América,1
Guatemala,Sur/Latino América,1
Guam,Asia & Pacífico,3
Guinea-Bissau,Africa,4
Guyana,Sur/Latino América,1
Heard Island and McDonald Islands,Asia & Pacífico,3
Honduras,Sur/Latino América,1
Croatia,Europa,2
Haiti,Sur/Latino América,1
Hungary,Europa,2
Indonesia,Asia & Pacífico,3
Ireland,Europa,2
Israel,Europa,2
India,Asia & Pacífico,3
British Indian Ocean Territory,Asia & Pacífico,3
Iraq,Medio oriente,6
Iran,Medio oriente,6
Iceland,Europa,2
Italy,Europa,2
Jamaica,Sur/Latino América,1
Jordan,Medio oriente,6
Japan,Asia & Pacífico,3
Kenya,Africa,4
Kyrgyzstan,Asia & Pacífico,3
Cambodia,Asia & Pacífico,3
Kiribati,Asia & Pacífico,3
Comoros,Estados árabes,5
Saint Kitts and Nevis,Sur/Latino América,1
North Korea,Asia & Pacífico,3
South Korea,Asia & Pacífico,3
Kuwait,Medio oriente,6
Cayman Islands,Sur/Latino América,1
Kazakhstan,Asia & Pacífico,3
Lao People's Democratic Republic,Asia & Pacífico,3
Lebanon,Medio oriente,6
Saint Lucia,Sur/Latino América,1
Liechtenstein,Europa,2
Sri Lanka,Asia & Pacífico,3
Liberia,Africa,4
Lesotho,Africa,4
Lithuania,Europa,2
Luxembourg,Europa,2
Latvia,Europa,2
Libya,Medio oriente,6
Morocco,Estados árabes,5
Monaco,Europa,2
Moldova, Republic of,Europa,2
Madagascar,Africa,4
Marshall Islands,Asia & Pacífico,3
Macedonia,Europa,2
Mali,Africa,4
Myanmar,Asia & Pacífico,3
Mongolia,Asia & Pacífico,3
Northern Mariana Islands,Asia & Pacífico,3
Martinique,Sur/Latino América,1
Mauritania,Estados árabes,5
Montserrat,Sur/Latino América,1
Malta,Europa,2
Mauritius,Africa,4
Maldives,Asia & Pacífico,3
Malawi,Africa,4
Mexico,Sur/Latino América,1
Malaysia,Asia & Pacífico,3
Mozambique,Africa,4
Namibia,Africa,4
New Caledonia,Asia & Pacífico,3
Niger,Africa,4
Norfolk Island,Asia & Pacífico,3
Nigeria,Africa,4
Nicaragua,Sur/Latino América,1
Netherlands,Europa,2
Norway,Europa,2
Nepal,Asia & Pacífico,3
Nauru,Asia & Pacífico,3
Niue,Asia & Pacífico,3
New Zealand,Asia & Pacífico,3
Oman,Medio oriente,6
Panama,Sur/Latino América,1
Peru,Sur/Latino América,1
French Polynesia,Asia & Pacífico,3
Papua New Guinea,Asia & Pacífico,3
Philippines,Asia & Pacífico,3
Pakistan,Asia & Pacífico,3
Poland,Europa,2
Saint Pierre and Miquelon,Norte America,7
Pitcairn Islands,Asia & Pacífico,3
Puerto Rico,Sur/Latino América,1
Portugal,Europa,2
Palau,Asia & Pacífico,3
Paraguay,Sur/Latino América,1
Qatar,Medio oriente,6
Reunion,Asia & Pacífico,3
Romania,Europa,2
Russia,Europa,2
Rwanda,Africa,4
Saudi Arabia,Medio oriente,6
Solomon Islands,Asia & Pacífico,3
Seychelles,Africa,4
South Sudan,Africa,4
Sudan,Estados árabes,5
Sweden,Europa,2
Singapore,Asia & Pacífico,3
Saint Helena,Africa,4
Slovenia,Europa,2
Svalbard and Jan Mayen,Europa,2
Slovakia,Europa,2
Sierra Leone,Africa,4
San Marino,Europa,2
Senegal,Africa,4
Somalia,Estados árabes,5
Suriname,Sur/Latino América,1
Sao Tome and Principe,Africa,4
El Salvador,Sur/Latino América,1
Syrian Arab Republic,Asia & Pacífico,3
Swaziland,Africa,4
Turks and Caicos Islands,Sur/Latino América,1
Chad,Africa,4
French Southern Territories,Asia & Pacífico,3
Togo,Africa,4
Thailand,Asia & Pacífico,3
Tajikistan,Asia & Pacífico,3
Tokelau,Asia & Pacífico,3
Turkmenistan,Asia & Pacífico,3
Tunisia,Estados árabes,5
Tonga,Asia & Pacífico,3
Timor-Leste,Asia & Pacífico,3
Turkey,Europa,2
Trinidad and Tobago,Sur/Latino América,1
Tuvalu,Asia & Pacífico,3
Tanzania, United Republic of,Africa,4
Ukraine,Europa,2
Uganda,Africa,4
United States Minor Outlying Islands,Asia & Pacífico,3
United States,Norte America,7
Uruguay,Sur/Latino América,1
Uzbekistan,Asia & Pacífico,3
Vatican City,Europa,2
Saint Vincent and the Grenadines,Sur/Latino América,1
Venezuela,Sur/Latino América,1
Virgin Islands, British,Sur/Latino América,1
Virgin Islands, U.S.,Sur/Latino América,1
Vietnam,Asia & Pacífico,3
Vanuatu,Asia & Pacífico,3
Wallis and Futuna,Asia & Pacífico,3
Samoa,Asia & Pacífico,3
Yemen,Medio oriente,6
Mayotte,Africa,4
Serbia,Europa,2
South Africa,Africa,4
Zambia,Africa,4
Montenegro,Europa,2
Zimbabwe,Africa,4
Aland Islands,Europa,2
Guernsey,Europa,2
Isle of Man,Europa,2
Jersey,Europa,2
Saint Barthelemy,Sur/Latino América,1
Saint Martin,Sur/Latino América,1
Asia/Pacific Region,Asia & Pacífico,3
Europe,Europa,2
Hong Kong,Asia & Pacífico,3
Diamond Princess,Norte America,7
Moldova,Europa,2
North Macedonia,Europa,2
Taiwan,Asia & Pacífico,3
Réunion,Africa,4
Ivory Coast,Africa,4
Channel Islands,Europa,2
Faeroe Islands,Europa,2
Tbilisi,Asia & Pacífico,3
Brunei,Asia & Pacífico,3
Macao,Asia & Pacífico,3
Tanzania,Africa,4
Sint Maarten,Sur/Latino América,1
Syria,Medio oriente,6
Curaçao,Sur/Latino América,1
Laos,Asia & Pacífico,3
MS Zaandam,Europa,2
Eswatini,Africa,4
St. Barth,Sur/Latino América,1
Turks and Caicos,Sur/Latino América,1
British Virgin Islands,Sur/Latino América,1
CAR,Asia & Pacífico,3
Caribbean Netherlands,Sur/Latino América,1
St. Vincent Grenadines,Sur/Latino América,1
Kosovo,Europa,2
West Bank and Gaza,Estados árabes,5
Falkland Islands,Sur/Latino América,1
Saint Pierre Miquelon,Norte America,7
